path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\cab265a1ec.wav,१२ किमी पक्की
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\cab63e55ec.wav,१६ गतेसम्म सूर्यले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\cab77a001c.wav,१९६ अध्याय छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca0ad6e748.wav,२००१ सालतिर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca9c4a3b13.wav,२००१ सालमा काठमाडौँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca5555909d.wav,२७ अप्रिल २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\caf699fea8.wav,४३ लाख २०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\cad56d0a91.wav,५० ग्राम सुकाइएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca1d18256f.wav,७०० मिटरदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca3200b98a.wav,अकवर भन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca7316e615.wav,अघि उनले प्राक्टिकन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca2079a74f.wav,अछाम बझाङ बाजुरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\cad48e30f0.wav,अझै केही
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca665e8b98.wav,अञ्चल कैलाली जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca19b6099a.wav,अञ्चलमा मनाइन्छन् भने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ca\processed_wav\ca677ec658.wav,अतुल स्‍मृति संगीत
