path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b816d389d.wav,१० वर्षसम्म रह्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b9b8a6016.wav,११ बजे रेडियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bde4ceff0.wav,१२४२२ हेक्टर रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bdd057c81.wav,१५ जुन १९९७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b7dec449c.wav,१९४९ मा प्रति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b929b8ba0.wav,१९ औँ र २० औँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b1997b474.wav,१ अर्थदण्ड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b700a5203.wav,२०१७ सालतिर योगी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bc4559e35.wav,२०३५ साल देखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b08c11329.wav,२०६० ४ मेरो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b21a97ba3.wav,२०६२ वैशाख २१
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b18d20b98.wav,२७६ छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b38e09664.wav,३० वटा उपथरहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bfb60d9c4.wav,३२ डिग्री सेल्सियसदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b9c2a853a.wav,३५२ करोडको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b1a8074fd.wav,४० प्रजाति छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bcea61b00.wav,५७ डिग्री सेल्सियस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bbf415f82.wav,६ हजार ५ सय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b97fccc07.wav,अगाडि छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8be6a5fb65.wav,अगाडि बढ्नुहोस्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b86cb2de8.wav,अग्लो ठाउँमा छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b2f89ae45.wav,अङ्क अङ्ग्रेजीको प्रयोग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8ba21dec8c.wav,अङ्गुरमा ठिक्क मात्रामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bb0d50f26.wav,अज्ञात थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8be9625b9b.wav,अत्याधिक अस्थिरताका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b129b547e.wav,अदृष्ट परमाणु काल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b8c3f59b7.wav,अध्‍यादेश जारी गर्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b58ae805a.wav,अनसन गर्नेछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b955dc611.wav,अनिष्टकारी घटनाहरू हुने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b221eeff1.wav,अनेक कारण हुन्छन्।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b92b31062.wav,अनेक प्रतिष्ठानहरूको जन्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b1ad78248.wav,अन्तरिक्ष यात्रा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8ba898c908.wav,अन्तरिक्ष यान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b97f7edf3.wav,अन्तिम चरणसम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b02f254a1.wav,अन्तिम सन्देशको रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b488a6903.wav,अन्य समुदायलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bf2e0dc12.wav,अब कर्णाली राजमार्गलगायत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bd151311a.wav,अमेरिकन उपन्यासकार लेखक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b12d850f9.wav,अरू बेला भक्तहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b137dd35f.wav,अर्को अङ्गडेन रोडमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b32b0d249.wav,अर्जुनका छोरा थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8beb617670.wav,अर्थमा फुटबलका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b29700015.wav,अर्थलाई स्पष्ट गर्नु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bbdfb1756.wav,अल्कोहलको मात्रा कम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b65356ecf.wav,अल्पायुमा नै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b979952d4.wav,अवधिमा दुई सय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b0ca02d40.wav,असफलतालाई उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8bea2c4aa8.wav,असुरक्षित थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8b\processed_wav\8b232b098e.wav,आइओएस अपरेटिङ सिस्टमसँग
