path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee86d35f1c.wav,१०५ भन्दा बढीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee6605d67b.wav,१४ जना असफल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eee4e6e3c2.wav,१ देखि १० सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eedbf4b700.wav,२००६ युएस ओपन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee9608be88.wav,२००८ मा समाप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee6b5cedf8.wav,२०१३को अप्रिल २८
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eedfb7dace.wav,२०१५ सालको बीपी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee4dc1a9a4.wav,२०६० सालमा ललितपुर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee238cb5a3.wav,२०६५ साल भदौ २ गतेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eeb16e1cb1.wav,२४ जुन २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee64e6ed31.wav,२५ प्रतिशत मात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee56fb8800.wav,२ जना रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eeda182c27.wav,३० वर्ष देखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee71434212.wav,३११६२को उपयोग गरेको पाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee76067963.wav,३२४ देखि अनुच्छेद
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee79d191a8.wav,३ मेघ बर्सेर यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee69d71256.wav,३ हजार २ सय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee53412316.wav,८०० करिब छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee6857cfbc.wav,अङ्गको अस्पतालमा हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee5b323097.wav,अङ्ग्रेजी बैंकहरूका एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee75af259d.wav,अज्ञात थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee88551507.wav,अति विशाल बलहरूका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee79a538e2.wav,अत्याधिक आत्मविश्वासका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eedc01be58.wav,अदृश्य भइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee60a93826.wav,अधिग्रहण गरिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee6e13dfad.wav,अधिपत्य जमाए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee31158efc.wav,अधीनमा छन् जुन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee80b35da9.wav,अध्याय सातौँमा चण्ड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee057b0e2d.wav,अनि उनलाई डाहा भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee676676e3.wav,अनुसार चरत्रिवान मानिसले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee91badd8f.wav,अन्तर्गत सञ्चालित यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee8f14dc00.wav,अन्तर्राष्ट्रिय दवाबहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee9b29479a.wav,अन्तर्राष्ट्रिय समाजवादी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eece30ee94.wav,अपवित्र र पापी सम्झन्छौ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee2f47ecab.wav,अपाङ्ग बाल अस्पताल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee2c8dd13c.wav,अप्रसन्न रहनु भनेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee7cbb8d58.wav,अफ्रिकी फुटबल सङ्घ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eee4f49ae5.wav,अमिताभको लागि राजको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee8e8e4ab4.wav,अमेरिकामा मिल्दछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee41c0b05d.wav,अमेरिकी अभिनेता जोन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee075ab9f3.wav,अमेरिकी ओपनमा कुनै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee4df08548.wav,अरथुङ्गेको घाँस घरपालुवा जनावरलाई खुवाउन प्रयोग गरिन्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eec2ca3d4b.wav,अरू खनिज उद्योग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee34896866.wav,अर्का खेलाडी गए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eeb6993cc5.wav,अर्को पक्षबाट ग्रहण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eec4b2766c.wav,अलि हराउनुभयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eed61bce4f.wav,अवरोध मुक्त अधिकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\eea02d8b24.wav,अवस्थामा छ यानि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee84b111ac.wav,अश्वघोषका बुद्धचरित र कालिदासका कृतिहरूमा समानता पाइन्छ ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ee\processed_wav\ee8ebc9978.wav,अश्विनी अश्लेषा मघा
