path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ada907ea4a.wav,०५२ सालपछि २०६३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad7543a447.wav,१० कक्षा पढ्दादेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\adf2792e0d.wav,११ दिनअघि सिङ्गापुरस्थित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad777b7189.wav,१७५ रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad6a2d49f5.wav,२०१३ को अगस्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad1045dfdf.wav,२०२० साल असार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad1db7f80e.wav,२० वर्षको उमेरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\adca84a83d.wav,२७ सूचनाको हक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad48bfff95.wav,४०० भोल्टसम्मको करेन्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad7882d5d4.wav,४५ मुरी खेत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad03a4f06f.wav,५ मिटर अग्लो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad38d383da.wav,८३० महिला रहेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad8c3eebeb.wav,अकबरका पुत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ade45b5828.wav,अग्रसर भए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\adb2ff767e.wav,अघिल्लो दिनदेखि सुरु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad201f822e.wav,अझ पनि तपाईँबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\adb5af05a0.wav,अञ्चल रूपन्देही जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad49866ed5.wav,अति सफा गरी बनाएमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad4cbb17f5.wav,अधिकतम कार्यकर्तामाथि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad0275da8a.wav,अधिक मिल्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\adc40458d1.wav,अधिकारको लागि विभिन्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad77b86501.wav,अधिकांश मिसिनहरूलाई मार्टिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad89056349.wav,अनुमति समाप्त भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad74575b7f.wav,अनुमान गरिएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad390f7f98.wav,अनुरोध गरियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\adb1b5bf90.wav,अनुसन्धानको उत्तम थलोका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad4e22c40e.wav,अनुसार कछारी सतही
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\ad9418be4f.wav,अन्टार्कटिक महासागर वा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ad\processed_wav\adfb0b5032.wav,अन्तरिक्ष रक्षालाइब्रेरी अफ
