path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddfac17957.wav,१४ मिनेट लामो छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd8495d6ed.wav,१५ जुन १९९७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd758e0d63.wav,१५ मा रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dda9c18882.wav,१९७९ का बीच
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddd15e1904.wav,१९९६ मा आएर टुङ्गियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd16f6b2a2.wav,१ नगरपालिका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd159d4ac2.wav,२०५८ को राष्ट्रिय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddf4cb0849.wav,२० सेन्टिमिटर र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd1d88a09a.wav,२३ किमि पूर्वमा पर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd7e49af93.wav,२९ जुन २००९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dda36a627e.wav,२ तारिखमा संविधानसभाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd18cb234f.wav,२ भएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd7e767613.wav,२ हजार २५
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddeeb0c8ff.wav,३४ थोपा हाल्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd7af144a2.wav,४६ वर्षीय परियारले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddc7880d33.wav,४ जिल्लाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddb9d8a92c.wav,५७ वा ५८ वर्ष पूर्व
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd65c94b42.wav,अगाडि आएर बस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dddf5a7d1d.wav,अघि सार्नु भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddbdeb29c4.wav,अझ बढी जानकारी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd9f5edc31.wav,अझै सीमाको किलाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dde8497e03.wav,अञ्चलको अर्घाखाँची जिल्ला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd68323f1d.wav,अञ्चलको दाङ जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddcff5fcd8.wav,अड्काउ फुकाउन हाम्रा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddd8a4bd37.wav,अति अभाव थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddf25e32a0.wav,अथवा कुनै अर्को
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd81b99069.wav,अधिकारी हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd034f72f1.wav,अध्ययन गरेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd4311b937.wav,अन अ र्‍याफ्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dda8636504.wav,अनुभव गर्दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\ddc7dcd926.wav,अनुमान गरिएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd3641a9e7.wav,अनेक पर्यटकहरुलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd084a1c44.wav,अनेक योजनाहरूलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dd\processed_wav\dd3fec56e1.wav,अनेक समस्याहरूमा गम्भीरतापूर्वक
