path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd57be2384.wav,०५३ सालको गठवन्धन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd1a025fad.wav,१३ अरब वा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd010f53f0.wav,१३ वटा अङ्क
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bde79d3180.wav,१८८० १८९० का
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdfe00dc07.wav,२००३ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdda8ea464.wav,२०५६ सम्म रह्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdb5ea6dd6.wav,२० वर्ष लामो अन्तरालपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdae474606.wav,२७ मिनेट उत्तरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd0fe82ca3.wav,२८ जातिको बसोबास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd8a0eeb8f.wav,३७ वर्षीया किरण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd5912bcb4.wav,४ भन्दा बढी मेडिकल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd936772b6.wav,६९ को बजेटमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd22186642.wav,६९ वर्षको उमेरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdbe0140bf.wav,९७ औँ स्थानमा रहे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bde0ff2937.wav,९ मा अवस्थित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd16a10c59.wav,अक्स आँखेँ खाकी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd488edadf.wav,अगस्ट २०११ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bda1a1f28c.wav,अगाडि उभिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd79b225ed.wav,अट्न थाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bda21117af.wav,अत्यन्त प्राचीन तथा समृद्ध छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd533e6261.wav,अत्यन्त महत्त्वपूर्ण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd2037b4ee.wav,अधिकार हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bddf089ed6.wav,अधिकारीको मूलथलो इलामको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bde8dc14eb.wav,अध्ययन गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd0f9a54bd.wav,अनभिज्ञतावश आफूबाट ठूलो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdb9936d22.wav,अनि कोमल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd64ea0db2.wav,अनि मेरै समिपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdf5c0a950.wav,अनुसार ढुसीले गर्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd5b3972f3.wav,अन्तमा सिमानाको दुर्गम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd6288780e.wav,अन्तरिक्ष एजेन्सीहरू अन्तरिक्ष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd4aab555d.wav,अन्तर्राष्ट्रिय नागरिक उड्डयन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd2eb61309.wav,अन्तिम सन्देशको रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdaf7381c1.wav,अन्य इकाइहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd8a793ae4.wav,अपरिहार्य छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bddeff23c0.wav,अपिल गरे उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd5428fbbf.wav,अप्सराहरूसँग जलक्रीडा गर्दै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdc0395a7b.wav,अभिजालोको प्रयोग गरिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd73c999d1.wav,अभियान निकै चर्कियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bddfb055de.wav,अभ्यास र औषधिलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdcc82b412.wav,अमेरिकी नौसेनाले जापानलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bde4ad35ea.wav,अरुका जस्तै उनका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd112c01e4.wav,अर्कामा सम्बन्धित रहन्छन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd00431e4f.wav,अर्को कुरा कतिपय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bdf0305f40.wav,अर्को प्रकारको कोसा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd2ee151d7.wav,अर्थव्यवस्थामा धन ल्याउँदछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bd\processed_wav\bd1f7a08f7.wav,अर्थात् त्यहाँ चुम्बकीय
