path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fbd395c0d1.wav,१२ किलोमिटर जतिको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fbaadec618.wav,१३ १ मार्च
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb9a770107.wav,१७९९मा राजा नरभूपाल शाहको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fbedcd3d39.wav,२०१४ फागुनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb73e0658e.wav,२०१५ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fba80e002e.wav,२०५६को संसदीय निर्वाचनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb64c6a6a9.wav,२५ नोभेम्बर २००९ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb4540f81f.wav,२ मिलियन भन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb4ff28f69.wav,३ शालिग्राम हाम्रो घरमा पूजा घरमा भगवान विष्णुको साथ राख्न पर्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb1dfe0585.wav,३ हरियाली बढी आफैँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fbd9c8dc9b.wav,अकर्मक क्रिया हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb87c2af79.wav,अङ्ग्रेजहरूले दार्जीलिङलाई नेपालबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fba4500d76.wav,अचेल सजिलो गरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb85e71965.wav,अझै घरहरू छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fbf62ed17c.wav,अति साँघुरो भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb48ad3d52.wav,अथवा १० थोपा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fbcfbd729b.wav,अधिकारी थिइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fba6b99798.wav,अनुभव गरेको छु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb6b8a2bca.wav,अनुसार सबै प्रकारको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fbe808f7c2.wav,अनेक पटक विनाश
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fb\processed_wav\fb82d986b7.wav,अनेक राजाहरू सम्राटहरूले
