path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02e19c6577.wav,११ मा क्यानडाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02b2941e30.wav,१४औं शताब्दीको महामारीले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\0280a7b67e.wav,१६ तारिखमा सगरमाथाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02c8eb1394.wav,१९९२ को अप्रिल देखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\029bf8052c.wav,१९९९ साल चैत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02d57fe8c4.wav,२०४६ को जनआन्दोलनको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02ea34e8c2.wav,२०६६ सालमा यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02b15f0bdd.wav,२० हजार ८०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\026da54244.wav,२३ अगस्ट २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\022c9c6660.wav,२४ मा भएको हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02f9c2f490.wav,२७ वर्ष अमेरिकामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\027117406f.wav,५ नेपालका परम्परागत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\022ec953d5.wav,६ वर्षका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02c420c4f4.wav,अगाडि पुगिसकेको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\0201abd455.wav,अङ्गहरू सुन्निएको अवस्थामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02f8670451.wav,अञ्चलको सोलुखुम्बु जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02d9664a68.wav,अधिकार रहेको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\027171f03f.wav,अधिकारी पुरुष मानिन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\02\processed_wav\02fe5e02f9.wav,अध्यक्ष पद छन्।
