path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbfff43e69.wav,१३ लाख लिटर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db4094f81f.wav,१९५४ मा उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db70052365.wav,१९७७ सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbffb63431.wav,२००४ मा एक लाख
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbf57afd94.wav,२००७ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db6d101c4c.wav,२५ निवारक नजरबन्द
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbc018dc93.wav,२ आवश्यक भएमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbf3f81108.wav,३ जुलाई १९६२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db9cf1a545.wav,६ श्री माधवप्रसाद पौडेल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db07f7759e.wav,८०० करिब छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbdef51edb.wav,८०० ग्राम चिनी राख्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db7f258407.wav,अगाडि गाँसेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbbceeca96.wav,अगाडि बढ्नका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbb3aa234d.wav,अघि चाल्नाले चालिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbb4b21379.wav,अङ्ग्रेजी नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbd5be9046.wav,अत गुरूदेवबाट नै यो कार्य सम्पन्न गराउन प्रार्थना गर्‍यो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db38f37a22.wav,अति प्राचीन कालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db7c8ddf12.wav,अथवा झाँक्रिले चिन्ता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbdc42dec6.wav,अधिकार जमाए वा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbe5f51a7a.wav,अध्ययन कलेज काठमाडौँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbfd4de471.wav,अध्ययन गरी तिनलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbd2a462ba.wav,अनुयायीहरू मिलेर वैयाकरण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db0ac9d833.wav,अनुरोध गर्दछु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db35dba6e0.wav,अनुसार गत वैशाख १८ गतेसम्ममा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db93295d2e.wav,अनुसार यहाँको वार्षिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db19bf4f29.wav,अनेक भ्रमहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbce5bf500.wav,अन्तर्राष्ट्रिय संगठन थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db3adf0bc0.wav,अन्य ठाउँको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbb6f690a5.wav,अन्य थुप्रै सरकारी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db55df10cf.wav,अन्य भाषा बोल्नेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbbd8d9f5e.wav,अन्य सहायक नदीहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbd152ff42.wav,अपनाएका कारण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbc5a67497.wav,अपनाएका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db1d718875.wav,अप्रिल २ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db4e74335f.wav,अफ्रिकी हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db98e71e6c.wav,अब त मलाई जेल हाल्नुहुन्छ होला नि?
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db8a50fc78.wav,अमिटी विश्वविद्यालय भारतीय राज्य उत्तर प्रदेशको एउटा विश्वविद्यालय हो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\db90134890.wav,अमेरिकाको संस्थापन पक्षको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\db\processed_wav\dbaf442c6c.wav,अमेरिकी डलर भारत
