path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fe1939ec0e.wav,१२ औं वर्षमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\feb6cb4ece.wav,१३८३ सम्म सिन्धुलीगढी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fe1ebe651b.wav,१९३६ मा तिब्बतमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fedba1a319.wav,१९९३मा स्थापित गरिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fe9d99bd55.wav,२००९ मा मिसिगन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fecc1005eb.wav,२०५६ सालमा उहाँले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fe7f2466a3.wav,२२७ युलू मोटे गरिमा अनुमान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fe34e771e0.wav,४३ गाउँ विकास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\feb75951cb.wav,४३ गाविस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\feb49765d1.wav,४ मा अवस्थित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fe6b386de1.wav,५० धार्नी सुन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fe\processed_wav\fec1fa090d.wav,५२ मिनेटदेखि २८ डिग्री
