path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac3387df5c.wav,१२०६ पछि दिल्ली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\acd106ae9a.wav,१२२ हेक्टर उत्पादनशील
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac69786132.wav,१९५० का दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac1037de8c.wav,१९९०को दशकमा आर्थिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac757f0eaa.wav,१९९२ मा विज्ञान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac64e48f59.wav,१ सय १०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac2878217c.wav,१ स्थानमा छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\acd33a63f7.wav,२०१७ सालमा पञ्चायती
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac6946d9de.wav,२०२६ मा प्रवल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac38d3d48c.wav,२०३२ सालतिरै अघि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac40377e90.wav,२०५० सालमा महेन्द्रपुलकै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac3b6f236e.wav,२० गतेका दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\aca55c28be.wav,२५० भन्दा बढी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac1988b85e.wav,३७ वटा झोलुङ्गे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac47dbd7e7.wav,४३.४ आयात
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac22e756d2.wav,४ अकस्मात् दण्ड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac1e34cfc6.wav,५३ व्यक्तिगत चन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\aca396a5da.wav,६२ ले जित्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ace0e846d5.wav,अघिल्लो दिन चोखो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac9703a75f.wav,अङ्ग्रेजी र फ्रान्सेली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\aca631f80a.wav,अङ्ग्रेजी शब्दको प्रयोग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac97f6e35f.wav,अजातशत्रुले आफ्नो राजधानी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\acd9d57b4f.wav,अत आधारभूत तथ्याङ्क
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac4ff33e6a.wav,अधिक शुद्ध मानिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac5ac2ad2c.wav,अध्यपन गराउनु भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac33bed3d5.wav,अध्ययन गरेका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac45cfe8e1.wav,अनसनमा बस्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac906f7039.wav,अनैतिकसमेत भेटिन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\acc1a024c1.wav,अन्तरले भएको जीत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac54b83e5c.wav,अन्तर्राष्ट्रिय साक्षरता दिवस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac30900c98.wav,अन्य ग्रहहरूको भूविज्ञान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac40f8230f.wav,अपन द डल अर्थ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac2d45002e.wav,अफगानिस्तानको तत्कालीन तालिबान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac3b6ebccb.wav,अब मैले पहिलेकै रूपमा ल्याएर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\acd678d7f5.wav,अमलाहरू पनि पाइन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac9e785233.wav,अमेरिकी योजनाको साङ्केतिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac1662c207.wav,अर्जेन्टिनाको राजधानी सहर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\acc8bab374.wav,अर्जेन्टिनाबाट पनि आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac83f4602d.wav,अर्थलाई स्पष्ट गर्नु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac51ae8647.wav,अल्लाह सबैभन्दा महान् छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac1279edc6.wav,असरहरूको अध्ययन अनेक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac769b0281.wav,असाधारण प्रदर्शन गर्दै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac04272755.wav,असार महिनाको शुक्लपक्षको एकादशीलाई नै देवशयनी वा हरिशयनी एकादशी भन्ने गरिन्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac3043c286.wav,अस्ट्रेलियाका मूल निवासीहरूका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\ac39c52c4d.wav,अस्पताल खर्च गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ac\processed_wav\acf192da6b.wav,अहिले इकान्तिपुर भनिन्छ
