path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6f7d70890.wav,१० वटा थरहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6f171de32.wav,१४ वर्ष राष्ट्रिय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6e635ab4a.wav,१९१० मा लर्ड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f69978ce6c.wav,१९८४ र २००४ को
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f63fe7e73f.wav,१९९३ र फरेस्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f62e417a3d.wav,१ तारिखमा ड्रागन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6ddbdbd85.wav,१ तारिखमा ड्रागन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6d08dc0b7.wav,२०५५ स्थानीय स्वयत्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f608aa4797.wav,२०६६ सालको पद्मश्री
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f65006311a.wav,२५ गतेदेखि यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6ab83d133.wav,२७ सूचनाको हक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6b4c9412f.wav,२८ रनको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f64c4d3ca4.wav,५५ मिटर छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f69046e57b.wav,६ ऋतुका नामबाट निर्माण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f65a0ff0e3.wav,८४ दशमलव ४१
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f678278b74.wav,९ को मुख्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6196fe794.wav,अक्टोबर २०११ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f69467b47e.wav,अगाडि बढ्नुहोस्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6f09b2457.wav,अधिकाशं खाम्पाहरूले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f65366c52d.wav,अधिराज्यलाई ७ शैक्षिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6f5b5a507.wav,अध्ययनमा अनुमान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f66ad1d142.wav,अनन्त अथाह देखिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f62cbb5dfd.wav,अनि उनीहरूको यथावत्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f624a05dda.wav,अनेक प्रतिष्ठानहरूको जन्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f6\processed_wav\f6967e906d.wav,अन्ना हजारेले १९९७ मा
