path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa70e1bcce.wav,०६२ मा एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa02a9e847.wav,१०५ भन्दा बढीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fad274c7d4.wav,१० कक्षासम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa943c7dba.wav,१६ अगस्त २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa4c1653bf.wav,१९९६ मा आएर टुङ्गियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fafbcc34c4.wav,२००६ सम्म विहार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa07af757a.wav,२०१५ पुसमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa17891c84.wav,२०५४ सालको स्थानीय निर्वाचनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fad7486b76.wav,२० करोड डलर पुग्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fab978cc99.wav,२५ हजार रूपैयाँको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa77ac1f8c.wav,२९ अप्रिल २०१० मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa79575fb3.wav,३ गते नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fadf21cbc0.wav,६५ छ जसमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fadb29f217.wav,६ गाविस छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa9d3f214d.wav,अकुत आम्दानी कमाएको टाइटानिक फिल्म ३ घण्टा १४ मिनेट लामो छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fadb1b9ace.wav,अक्टोबर २०११ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa9f6c9f7c.wav,अगाध आस्था राख्छौँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa51cc1659.wav,अघि लाँदैछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa009493a9.wav,अझ बढी तालिमको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa466970fe.wav,अञ्चल मुस्ताङ जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fabad8954c.wav,अति अभाव थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fad51232de.wav,अति नै कष्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa355a797e.wav,अतिरिक्त टोकियोको लन्डन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa0a498a90.wav,अदृश्य भइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\facbd2295e.wav,अधिकार तब मात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa6fbcfaa6.wav,अध्यक्ष सुन्दर थापा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa4c2af0b7.wav,अध्ययन गरिसकेका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fa\processed_wav\fa84d489c0.wav,अध्ययन गर्नुभएको थियो
