path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cba2debc6c.wav,१ २ आदि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbf4e99696.wav,१४२२ मा जीर्णोद्धार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb53966e4c.wav,१९२० मा उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbb45c1f8e.wav,१९४६ सत्याग्रह ऐट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cba6e88d41.wav,१९७८ को अक्टोबर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb4d202d15.wav,१ लाख ३३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb0b1be526.wav,२००५ सम्ममा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb969b94a0.wav,२००६ र ०७ को प्रवासी लक्ष्य १४४००० थियो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb53fede8e.wav,२००७को पृथ्वी दिवस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb61b0e672.wav,२०१७ सालमा पोखराबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbdaa328e5.wav,२०२२ सालमा पञ्चायत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbe3a8eebc.wav,२०३६ सालको जनमत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbba2dc51d.wav,२०५४ सालको आरम्भमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb23f64760.wav,२१ नोभेम्बर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb143c2f0a.wav,२३ मार्चमा हुने गर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb5a597590.wav,२७ मा पुगेको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb01bc652c.wav,४९ प्रतिशत छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb494123b2.wav,५ पटक सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb56d44c4c.wav,६ इन्चसम्म लामो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb47653bdd.wav,७८० अन्तरिक्ष यात्राका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb5f449652.wav,८२ डिग्री ३६ मिनेटदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbfeb5d8e5.wav,९ क्षयरोग १० चर्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbd5d3f8a7.wav,अक्टोवर २०१२मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbf3a696a2.wav,अखिल भारतीय साहित्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cba9e49f07.wav,अत्यन्त मिलेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb32630d3d.wav,अधिकतम कार्यकर्तामाथि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb19150e0e.wav,अध्ययनको लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb68e8a208.wav,अध्ययन गर्नुभएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb2f35767d.wav,अनगिन्ती पुरस्कार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbdfce0b15.wav,अनुवाद गरेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbff15ec1d.wav,अन्त्य गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cba359f208.wav,अन्नपूर्ण पोष्ट एउटा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cb495cbcf3.wav,अपराधीहरूमा दुई पटक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cb\processed_wav\cbbd64bd9a.wav,अप्राकृतिक मैथुनको रूपमा
