path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\efd07205f8.wav,१२००० श्लोक भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef4581018f.wav,१२२ जनालाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef08807119.wav,१४ मिनेट लामो छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef6804790b.wav,१५० ग्रामदेखि ५००
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef13d33783.wav,१६९ इन्चमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef33e57bc6.wav,१९१५ मा उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef84b96ba6.wav,१ सम्मेलनले यो महासन्धिलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\effd537293.wav,२०१७ सालमा प्रजातन्त्रको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\efc48dcb5f.wav,२०१९ साल असार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef1b22f679.wav,२०४६ सालदेखि विद्यार्थी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef8f00ca28.wav,२०५९ साल भदौ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef6f93c10c.wav,२० हजार ८०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\efa0e349a1.wav,२६ वर्षीय कपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef9d695e03.wav,३० प्रजाति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef99413ca5.wav,३६ जातका कीरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\efbcce3dd2.wav,४७ पुरा गरिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\efa0d19a0a.wav,६८ को बजेटमा चौँथो तहको सुरू तलव १५०००।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef1cd174ed.wav,७२ किलोमिटर सडक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef941c5257.wav,८२ डिग्री १९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\efa7a32467.wav,अक्षर होइन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef757f963b.wav,अघि बढ्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef1f1a820f.wav,अत यसका अधिकांश
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef61317e14.wav,अति साँघुरो भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\efc79046a4.wav,अधिक घरधुरी रहेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\effb1803f0.wav,अधिकतम तापक्रम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ef\processed_wav\ef21bdb16c.wav,अनुपस्थित रहिन्
