path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d49b03fdc.wav,०३९ सालतिर निर्मल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6de70366f8.wav,११ डिसेम्बरमा उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dc4534afc.wav,१२ औं वर्षमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d602488a4.wav,१८ वर्षको उमेरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6df10f7158.wav,१९४३ को बेला गरिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d896a4d26.wav,१९६८ मा मद्रास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dcbbbddcc.wav,२०३१ सालबाट राजनैतिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d0f156f44.wav,२० वडा समिति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d537e81f9.wav,२३ जुलाईमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d5b058168.wav,२४ मिनेट ४५ सेकेन्ड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d23000e46.wav,२ मासिक धर्म सुजाक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d9bdc8ae7.wav,२ संसदीय निर्वाचन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dfbada2bc.wav,३२ संवैधानिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6ded6cca33.wav,४५ मेगावाट छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dcc4cfe7b.wav,५२ मिनेटदेखि २८ डिग्री
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dbda223bb.wav,अघिल्लो साँझदेखि नै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6df0a5a00d.wav,अझ मलमास परेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dec306f67.wav,अड्डामा प्रवेश गर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d75d1be46.wav,अति आवश्यक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d3967ed2c.wav,अथवा यसको बारेमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6ded726180.wav,अधिक पाइन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dc3c5b79a.wav,अधिक समयसम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d64a3bca9.wav,अधीन गयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dce8d2cb4.wav,अनुरोध गर्नु पर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d32de654d.wav,अनुसार डुवर्स मध्ययुगीन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d7c51b402.wav,अन्तरिक्षहरूको अध्ययन थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dacc79e8f.wav,अन्तर्गत गाउँ तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d265502d7.wav,अपरिहार्य अग्रदूत साबित भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6de9e118cc.wav,अफ्नो तेज
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6de87bad87.wav,अफ्रिका नेशनल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d1b0f747a.wav,अभिनेता एड्डी अलबर्टले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dde2cf3f9.wav,अभिनेताका रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d0437cb3f.wav,अभिनेत्री तथा कामोत्तेजक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dc588e8ef.wav,अभिन्न अङ्ग हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d648ae456.wav,अर्का ओपनर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6db6201049.wav,अल्लाहदेखि हात उठाए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dc8b22566.wav,अवस्थाको रूपमा लिइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d82044fa9.wav,अवस्थित एक गाउँ विकास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d4ea1fb0b.wav,अस्ट्रेलियाका निकट आयोजित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d0ece6f66.wav,अस्ट्रेलियाली मानिसहरूका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d5fdaaa98.wav,अस्पताल हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6de5e7e556.wav,आदि अज्ञात तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d75e2c145.wav,आदि जातिहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d2fc7b879.wav,आन्दोलनप्रति भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6daf673b72.wav,आफैँले देखेका कति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d2112d168.wav,आफ्नो पहिचान तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dc9b3e07b.wav,आर्थिक स्थितिमाथि दृष्टि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d880588c8.wav,आर्यभट्टीयका आधारमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dcf6e30e1.wav,आवश्यकताअनुसार संशोधनको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d3d975fbe.wav,आवृत्ति वाली दुई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d217ec300.wav,आशय के हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d9f752423.wav,आहारालाई पुर्‍याउँछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6dc87f7293.wav,आँपमा प्रोटिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6d\processed_wav\6d62d8faeb.wav,इच्छा देखाउनुभएको छ
