path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dce1bf0a74.wav,१५ गते पर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc83dcedd5.wav,१६ वर्षको उमेरमै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc3d075b4e.wav,१९११मा अङ्ग्रेज सरकारले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dce711fbb8.wav,१ सय वर्षभन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc8274c174.wav,२०११ मा प्रकाशन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc99efc04e.wav,२०१५ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc8376b5fb.wav,२०५४ सालको बैशाखदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc3f7b7d98.wav,२१ पटक पृथ्वी घुम्दै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dcccc689d0.wav,२३ मार्च २०११ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc58850671.wav,३२जना किराँती शासकहरूले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc6bc79298.wav,४५७ मिटर उचाइदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc335c92fe.wav,४९ छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc71752f9d.wav,४ जिल्लाहरू मध्य एक हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc68bbc9c4.wav,५० छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dcc9ec55a1.wav,५ अक्टोबर १९६८
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dca302bf9d.wav,६ वर्षका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc5c776a66.wav,अक्टोबर २००७ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc6208e3bc.wav,अखिल भारती चिकित्सा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc831a20c5.wav,अगस्त २०१० मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dce864920d.wav,अधिकार गर्न लिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc16a25e97.wav,अधिकार प्रदान गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc3538bd0f.wav,अधिकार यो संविधान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc44b1931f.wav,अधिकार रहेको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc40bb53ef.wav,अधिकांश भूभाग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dca5197e0c.wav,अधिग्रहण गरिएको भूमि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc755f19b4.wav,अनि जसरी टङ्गाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc10bd5113.wav,अन्तमा तिब्बती मारिएपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc05ccdc34.wav,अन्तर्राष्ट्रिय क्रिकेट प्रतियोगितामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dcca6215f2.wav,अन्साजलाई उक्त सूचीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dca3cdee31.wav,अपी फाइनान्स लिमिटेड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dc702353fe.wav,अब चैत्र शुक्ल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\dc\processed_wav\dce75c4a32.wav,अभिनेता एड्डी अलबर्टले
